chapter_name,pdf,audios,videos,pdf_progress,audio_progress,video_progress,book_id,order_number,start_page,end_page
مدخل إلى علم الفقه 1,chapters/مدخل إلى علم الفقه 1.pdf,audios/مدخل إلى علم الفقه 1.mp3,https://youtu.be/7JsCnDKc3Sk?si=u7jSqUSmId5AMbx4,12,26,26,1,1,1,12
مدخل إلى علم الفقه 2,chapters/مدخل إلى علم الفقه 2.pdf,audios/مدخل إلى علم الفقه 2.mp3,https://youtu.be/BTKYgsiakB0?si=WA1Tj8DxNo_4f-9n,12,25,25,1,2,13,24
مدخل إلى علم الفقه 3,chapters/مدخل إلى علم الفقه 3.pdf,audios/مدخل إلى علم الفقه 3.mp3,https://youtu.be/ko0zklsFln0?si=ywVpD3oo9GTZ9DKu,13,26,26,1,3,25,37
مدخل إلى علم الفقه 4,chapters/مدخل إلى علم الفقه 4.pdf,audios/مدخل إلى علم الفقه 4.mp3,https://youtu.be/OM0L2wQQePA?si=wYlxDZsLosmWLaOe,11,24,24,1,4,38,48
مدخل إلى علم الفقه 5,chapters/مدخل إلى علم الفقه 5.pdf,audios/مدخل إلى علم الفقه 5.mp3,https://youtu.be/pDqvMiOpwyM?si=e3rTHRO3hW7jm3Kd,7,25,25,1,5,49,55
مدخل إلى علم الفقه 6,chapters/مدخل إلى علم الفقه 6.pdf,audios/مدخل إلى علم الفقه 6.mp3,https://youtu.be/Gy15R7bymAw?si=g6nz4-rQh8K4a3m7,11,24,24,1,6,56,66
مدخل إلى علم الفقه 7,chapters/مدخل إلى علم الفقه 7.pdf,audios/مدخل إلى علم الفقه 7.mp3,https://youtu.be/gJdk5IlPDFU?si=eiIq8ZWQrzLfffQs,12,25,25,1,7,67,78
مدخل إلى علم الفقه 8,chapters/مدخل إلى علم الفقه 8.pdf,audios/مدخل إلى علم الفقه 8.mp3,https://youtu.be/Z9j3GBsYMtA?si=qxY1i3kl5vtrH9OX,10,26,26,1,8,79,88
مدخل إلى علم الفقه 9,chapters/مدخل إلى علم الفقه 9.pdf,audios/مدخل إلى علم الفقه 9.mp3,https://youtu.be/VXE1Iyu3J4M?si=rIAcWgPUaYwUEzR4,10,24,24,1,9,89,98
مدخل إلى علم الفقه 10,chapters/مدخل إلى علم الفقه 10.pdf,audios/مدخل إلى علم الفقه 10.mp3,https://youtu.be/wgG22TzG1jA?si=wTM6wuaiIgyjnqqj,11,25,25,1,10,99,109
مدخل إلى علم الفقه 11,chapters/مدخل إلى علم الفقه 11.pdf,audios/مدخل إلى علم الفقه 11.mp3,https://youtu.be/ioj-jaQ6Uow?si=VspEr3MhCmNGaJsH,10,26,26,1,11,110,119
مدخل إلى علم الفقه 12,chapters/مدخل إلى علم الفقه 12.pdf,audios/مدخل إلى علم الفقه 12.mp3,https://youtu.be/WE9NZbbPE4U?si=jky-e--I4caRD2JU,10,24,24,1,12,120,129
مدخل إلى علم الفقه 13,chapters/مدخل إلى علم الفقه 13.pdf,audios/مدخل إلى علم الفقه 13.mp3,https://youtu.be/fDFIlcfFq3M?si=KDCRIUOVKUyUH_XT,12,28,28,1,13,130,141
